id_dispositivo,tipo_dispositivo,id_casa,estado
682242046300c682c7225711,aire_acondicionado,682242046300c682c7225710,desactivo
682242046300c682c7225716,aire_acondicionado,682242046300c682c7225710,desactivo
682242046300c682c722571c,bombilla,682242046300c682c7225710,activo
682242046300c682c722571f,bombilla,682242046300c682c7225710,desactivo
682242046300c682c7225724,bombilla,682242046300c682c7225710,desactivo
682242046300c682c7225727,bombilla,682242046300c682c7225710,desactivo
682242046300c682c722572b,bombilla,682242046300c682c7225710,activo
682242046300c682c722572e,bombilla,682242046300c682c7225710,desactivo
682242046300c682c7225733,bombilla,682242046300c682c7225710,activo
682242046300c682c7225737,bombilla,682242046300c682c7225710,desactivo
682242046300c682c7225739,bombilla,682242046300c682c7225710,desactivo
682242046300c682c722573b,bombilla,682242046300c682c7225710,desactivo
682242046300c682c7225740,bombilla,682242046300c682c7225710,activo
682242046300c682c7225742,bombilla,682242046300c682c7225710,activo
682242046300c682c7225747,cerradura,682242046300c682c7225710,activo
682242046300c682c7225749,cerradura,682242046300c682c7225710,desactivo
682242046300c682c722574d,cerradura,682242046300c682c7225710,activo
682242046300c682c722574f,cerradura,682242046300c682c7225710,desactivo
682242046300c682c7225751,cerradura,682242046300c682c7225710,desactivo
682242046300c682c7225756,cerradura,682242046300c682c7225710,activo
682242046300c682c722575a,aspiradora,682242046300c682c7225710,desactivo
682242046300c682c722575f,aspiradora,682242046300c682c7225710,desactivo
682242046300c682c7225761,refrigerador,682242046300c682c7225710,desactivo
682242046300c682c7225763,refrigerador,682242046300c682c7225710,desactivo
682242046300c682c7225768,lavadora,682242046300c682c7225710,activo
